price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built
221900,3,1,1180,5650,1,0,0,3,1180,0,1955
538000,3,2,2570,7242,2,0,0,3,2170,400,1951
180000,2,1,770,10000,1,0,0,3,770,0,1933
604000,4,3,1960,5000,1,0,0,5,1050,910,1965
510000,3,2,1680,8080,1,0,0,3,1680,0,1987
1230000,4,4,5420,101930,1,0,0,3,3890,1530,2001
257500,3,2,1715,6819,2,0,0,3,1715,0,1995
291850,3,1,1060,9711,1,0,0,3,1060,0,1963
229500,3,1,1780,7470,1,0,0,3,1050,730,1960
323000,3,2,1890,6560,2,0,0,3,1890,0,2003
662500,3,2,3560,9796,1,0,0,3,1860,1700,1965
468000,2,1,1160,6000,1,0,0,4,860,300,1942
310000,3,1,1430,19901,1,0,0,4,1430,0,1927
400000,3,1,1370,9680,1,0,0,4,1370,0,1977
530000,5,2,1810,4850,1,0,0,3,1810,0,1900
650000,4,3,2950,5000,2,0,3,3,1980,970,1979
395000,3,2,1890,14040,2,0,0,3,1890,0,1994
485000,4,1,1600,4300,1,0,0,4,1600,0,1916
189000,2,1,1200,9850,1,0,0,4,1200,0,1921
230000,3,1,1250,9774,1,0,0,4,1250,0,1969
385000,4,1,1620,4980,1,0,0,4,860,760,1947
2000000,3,2,3050,44867,1,0,4,3,2330,720,1968
285000,5,2,2270,6300,2,0,0,3,2270,0,1995
252700,2,1,1070,9643,1,0,0,3,1070,0,1985
329000,3,2,2450,6500,2,0,0,4,2450,0,1985
233000,3,2,1710,4697,1,0,0,5,1710,0,1941
937000,3,1,2450,2691,2,0,0,3,1750,700,1915
667000,3,1,1400,1581,1,0,0,5,1400,0,1909
438000,3,1,1520,6380,1,0,0,3,790,730,1948
719000,4,2,2570,7173,2,0,0,3,2570,0,2005
580500,3,2,2320,3980,2,0,0,3,2320,0,2003
280000,2,1,1190,1265,3,0,0,3,1190,0,2005
687500,4,1,2330,5000,1,0,0,4,1510,820,1929
535000,3,1,1090,3000,1,0,0,4,1090,0,1929
322500,4,2,2060,6659,1,0,0,3,1280,780,1981
696000,3,2,2300,3060,1,0,0,3,1510,790,1930
550000,4,1,1660,34848,1,0,0,1,930,730,1933
640000,4,2,2360,6000,2,0,0,4,2360,0,1904
240000,4,1,1220,8075,1,0,0,2,890,330,1969
605000,4,2,2620,7553,2,0,0,3,2620,0,1996
625000,4,2,2570,5520,2,0,0,3,2570,0,2000
775000,4,2,4220,24186,1,0,0,3,2600,1620,1984
861990,5,2,3595,5639,2,0,0,3,3595,0,2014
